uuid,file_name,file_timestamp,file_date,file_duplicate,file_md5,file_size,file_url
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-04_22-05.json,1612494300,2021-02-04,0,199dcd3e01a0d466053b28749d74270e,17248,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-04_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-05_22-26.json,1612581960,2021-02-05,1,199dcd3e01a0d466053b28749d74270e,17248,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-04_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-06_22-04.json,1612667040,2021-02-06,1,199dcd3e01a0d466053b28749d74270e,17248,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-04_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-07_22-03.json,1612753380,2021-02-07,1,199dcd3e01a0d466053b28749d74270e,17248,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-04_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-08_22-18.json,1612840680,2021-02-08,1,199dcd3e01a0d466053b28749d74270e,17248,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-04_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-09_22-03.json,1612926180,2021-02-09,1,199dcd3e01a0d466053b28749d74270e,17248,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-04_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-10_22-12.json,1613013120,2021-02-10,0,767d8afeb60a475ea00644ba13bc1b34,15277,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-10_22-12.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-11_22-29.json,1613100540,2021-02-11,0,562564134ee0eb936d111719b60ee359,16597,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-11_22-29.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-12_22-19.json,1613186340,2021-02-12,1,562564134ee0eb936d111719b60ee359,16597,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-11_22-29.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-13_22-06.json,1613271960,2021-02-13,1,562564134ee0eb936d111719b60ee359,16597,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-11_22-29.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-14_22-38.json,1613360280,2021-02-14,1,562564134ee0eb936d111719b60ee359,16597,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-11_22-29.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-15_22-03.json,1613444580,2021-02-15,1,562564134ee0eb936d111719b60ee359,16597,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-11_22-29.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-16_22-16.json,1613531760,2021-02-16,1,562564134ee0eb936d111719b60ee359,16597,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-11_22-29.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-17_22-06.json,1613617560,2021-02-17,0,d419eefc8aeaa3fbdefe8f9fe89fbf3b,15676,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-17_22-06.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-18_22-04.json,1613703840,2021-02-18,0,fcb47cee1c10e9b3c4486afc91173f93,16371,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-19_22-10.json,1613790600,2021-02-19,1,fcb47cee1c10e9b3c4486afc91173f93,16371,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-20_22-20.json,1613877600,2021-02-20,1,fcb47cee1c10e9b3c4486afc91173f93,16371,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-21_22-03.json,1613962980,2021-02-21,1,fcb47cee1c10e9b3c4486afc91173f93,16371,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-22_22-03.json,1614049380,2021-02-22,1,fcb47cee1c10e9b3c4486afc91173f93,16371,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-23_22-04.json,1614135840,2021-02-23,0,985bb62a44cf23e7e089fe697f467031,16958,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-23_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-24_22-09.json,1614222540,2021-02-24,1,985bb62a44cf23e7e089fe697f467031,16958,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-23_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-25_22-05.json,1614308700,2021-02-25,0,9f236eaae29d667ad4b4f7405800e976,14657,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-25_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-26_23-05.json,1614398700,2021-02-26,1,9f236eaae29d667ad4b4f7405800e976,14657,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-25_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-27_22-04.json,1614481440,2021-02-27,1,9f236eaae29d667ad4b4f7405800e976,14657,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-25_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-02-28_22-04.json,1614567840,2021-02-28,1,9f236eaae29d667ad4b4f7405800e976,14657,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-25_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-01_22-04.json,1614654240,2021-03-01,1,9f236eaae29d667ad4b4f7405800e976,14657,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-02-25_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-02_22-04.json,1614740640,2021-03-02,0,c7e28f36d79b10f1e0175b4507a8f70b,14972,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-02_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-03_22-04.json,1614827040,2021-03-03,1,c7e28f36d79b10f1e0175b4507a8f70b,14972,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-02_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-04_22-04.json,1614913440,2021-03-04,0,0ce5f8fa83302c9539f81345ca12e6e9,13639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-04_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-05_22-04.json,1614999840,2021-03-05,1,0ce5f8fa83302c9539f81345ca12e6e9,13639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-04_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-06_22-04.json,1615086240,2021-03-06,1,0ce5f8fa83302c9539f81345ca12e6e9,13639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-04_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-07_22-05.json,1615172700,2021-03-07,1,0ce5f8fa83302c9539f81345ca12e6e9,13639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-04_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-08_22-04.json,1615259040,2021-03-08,1,0ce5f8fa83302c9539f81345ca12e6e9,13639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-04_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-09_22-07.json,1615345620,2021-03-09,0,f0c90818bc27626ed8eac8f91c4942a2,12342,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-09_22-07.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-10_22-04.json,1615431840,2021-03-10,1,f0c90818bc27626ed8eac8f91c4942a2,12342,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-09_22-07.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-11_22-04.json,1615518240,2021-03-11,0,d23ab421290555fc2c418cc338f34d7c,13653,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-11_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-12_22-04.json,1615604640,2021-03-12,1,d23ab421290555fc2c418cc338f34d7c,13653,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-11_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-13_22-04.json,1615691040,2021-03-13,1,d23ab421290555fc2c418cc338f34d7c,13653,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-11_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-14_22-04.json,1615773840,2021-03-14,1,d23ab421290555fc2c418cc338f34d7c,13653,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-11_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-15_22-05.json,1615860300,2021-03-15,1,d23ab421290555fc2c418cc338f34d7c,13653,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-11_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-16_22-05.json,1615946700,2021-03-16,0,a9bbb23d0ed29b66de690cd1edabb065,14677,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-16_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-17_22-04.json,1616033040,2021-03-17,1,a9bbb23d0ed29b66de690cd1edabb065,14677,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-16_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-18_22-04.json,1616119440,2021-03-18,0,88eeb7ba78c941005d4e726048f950fd,16698,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-19_22-04.json,1616205840,2021-03-19,1,88eeb7ba78c941005d4e726048f950fd,16698,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-20_22-04.json,1616292240,2021-03-20,1,88eeb7ba78c941005d4e726048f950fd,16698,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-21_22-04.json,1616378640,2021-03-21,1,88eeb7ba78c941005d4e726048f950fd,16698,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-22_22-05.json,1616465100,2021-03-22,1,88eeb7ba78c941005d4e726048f950fd,16698,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-18_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-23_22-04.json,1616551440,2021-03-23,0,03e380f0d09f1b0fadcea657dbb479a8,18928,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-23_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-24_22-05.json,1616637900,2021-03-24,1,03e380f0d09f1b0fadcea657dbb479a8,18928,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-23_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-25_22-04.json,1616724240,2021-03-25,0,3cfd1a9031412e3c79f61887bca5dbc9,20227,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-25_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-26_22-04.json,1616810640,2021-03-26,0,63bf607f558cb1b2166fd8598018bfac,20062,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-26_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-27_22-05.json,1616897100,2021-03-27,1,63bf607f558cb1b2166fd8598018bfac,20062,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-26_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-28_22-05.json,1616983500,2021-03-28,1,63bf607f558cb1b2166fd8598018bfac,20062,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-26_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-29_22-05.json,1617069900,2021-03-29,1,63bf607f558cb1b2166fd8598018bfac,20062,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-26_22-04.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-30_22-05.json,1617156300,2021-03-30,0,2dab3ef9f81a7d3cf3bf5c7e62cfea27,20377,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-30_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-03-31_22-05.json,1617242700,2021-03-31,1,2dab3ef9f81a7d3cf3bf5c7e62cfea27,20377,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-03-30_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-01_22-05.json,1617329100,2021-04-01,0,27b98ed76b737c3a013552cd38cb9af5,19367,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-01_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-02_22-12.json,1617415920,2021-04-02,1,27b98ed76b737c3a013552cd38cb9af5,19367,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-01_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-03_22-04.json,1617501840,2021-04-03,1,27b98ed76b737c3a013552cd38cb9af5,19367,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-01_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-04_22-16.json,1617588960,2021-04-04,1,27b98ed76b737c3a013552cd38cb9af5,19367,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-01_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-05_22-05.json,1617674700,2021-04-05,1,27b98ed76b737c3a013552cd38cb9af5,19367,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-01_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-06_22-05.json,1617761100,2021-04-06,0,a5afb79f6575b45150924ad0dd746b52,15461,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-06_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-07_22-05.json,1617847500,2021-04-07,1,a5afb79f6575b45150924ad0dd746b52,15461,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-06_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-08_22-05.json,1617933900,2021-04-08,0,33a518439705e231bf0ded05dddc847f,14830,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-08_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-09_22-05.json,1618020300,2021-04-09,1,33a518439705e231bf0ded05dddc847f,14830,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-08_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-10_22-05.json,1618106700,2021-04-10,1,33a518439705e231bf0ded05dddc847f,14830,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-08_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-11_22-05.json,1618193100,2021-04-11,1,33a518439705e231bf0ded05dddc847f,14830,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-08_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-12_22-05.json,1618279500,2021-04-12,1,33a518439705e231bf0ded05dddc847f,14830,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-08_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-13_22-05.json,1618365900,2021-04-13,0,71ca19d43c892faab41201ef7bbce27e,23646,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-13_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-14_22-05.json,1618452300,2021-04-14,1,71ca19d43c892faab41201ef7bbce27e,23646,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-13_22-05.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-15_22-06.json,1618538760,2021-04-15,0,75c99366d3546a9b04fabcb5d1b2ac09,26639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-15_22-06.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-16_22-05.json,1618625100,2021-04-16,1,75c99366d3546a9b04fabcb5d1b2ac09,26639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-15_22-06.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-17_22-05.json,1618711500,2021-04-17,1,75c99366d3546a9b04fabcb5d1b2ac09,26639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-15_22-06.json
07199d75-5293-47aa-b8c2-14497956a135,covid-education-cases-last-2-weeks_2021-04-18_22-05.json,1618797900,2021-04-18,1,75c99366d3546a9b04fabcb5d1b2ac09,26639,https://archive.org/download/cc19da_07199d75-5293-47aa-b8c2-14497956a135/cc19da_07199d75-5293-47aa-b8c2-14497956a135.zip/covid-education-cases-last-2-weeks_2021-04-15_22-06.json
